[param : -s 0 -t 1 -c 1 -g 125.0 -r 1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r 10 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r 100 -d 2, ACC = 97.72, MSE = 0.0632, SCC = 0.9685870226912304]
[param : -s 0 -t 1 -c 1 -g 125.0 -r 1000 -d 2, ACC = 97.8, MSE = 0.0588, SCC = 0.9707785811956252]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -1000 -d 3, ACC = 80.76, MSE = 1.1064, SCC = 0.5494724285298082]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -100 -d 3, ACC = 86.76, MSE = 0.5504, SCC = 0.7386889640316333]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -10 -d 3, ACC = 79.52, MSE = 0.8288, SCC = 0.6293497960095664]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -0.1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6319435961960072]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 0 -d 3, ACC = 29.2, MSE = 2.6744, SCC = 0.07494106713812956]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 0.1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 1 -d 3, ACC = 79.44, MSE = 0.8236, SCC = 0.6322323403915332]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 10 -d 3, ACC = 79.52, MSE = 0.8288, SCC = 0.6293497960095664]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 100 -d 3, ACC = 86.76, MSE = 0.5504, SCC = 0.7386889640316333]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 1000 -d 3, ACC = 80.76, MSE = 1.1064, SCC = 0.5494724285298082]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -1000 -d 3, ACC = 77.36, MSE = 0.7264, SCC = 0.642531337172614]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -100 -d 3, ACC = 95.16, MSE = 0.1556, SCC = 0.9238291202973485]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -10 -d 3, ACC = 82.28, MSE = 0.6996, SCC = 0.6852503100967502]
